Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,109.601,-83.566,270,top
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.905,-137.033,270,top
C2,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.997,-136.716,0,top
C3,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.79,-85.344,180,top
C4,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.14,-91.313,270,top
C5,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.525,-75.692,0,top
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.843,-79.248,270,top
C7,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.681,-101.346,90,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.774,-94.996,90,top
D2,DIODE_SCHOTTKY,D_SOD-123,115.062,-82.677,270,top
D3,Red,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.318,-90.932,0,top
D4,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.291,-95.25,0,top
D5,DIODE_SCHOTTKY,D_SOD-123,122.11,-77.089,180,top
IC1,WLR089U0-I_RM-SamacSys_Parts,WLR089U0IRM,135.826,-106.68,270,top
J1,Barrel_Jack_Switch,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,89.154,-127.889,0,top
J2,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,139.256,-130.111,180,top
J3,SHUNT,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",87.884,-105.918,270,top
J4,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,126.365,-132.461,180,top
J5,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,105.855,-127.635,90,top
J6,USB_B_Micro,MicroUSB-LCSC-C21377-Sunrom-4358,85.44,-96.61,270,top
J7,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,92.71,-95.631,180,top
J8,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",87.503,-77.47,270,top
J9,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,97.409,-78.105,0,top
J10,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,120.396,-82.169,0,top
J11,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,128.27,-77.4065,90,top
J12,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,114.046,-76.581,90,top
J13,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical,113.792,-108.204,0,top
Q1,Q_PMOS_GSD,SOT-23,108.585,-76.581,180,top
R1,18,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,130.556,-130.429,270,top
R2,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,100.139,-123.825,270,top
R3,6.8K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,100.139,-130.302,270,top
R4,470K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.428,-130.683,270,top
R5,470K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.428,-137.541,270,top
R6,470K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,106.553,-131.699,180,top
R7,470K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,106.553,-135.7,0,top
R8,470,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,93.36,-89.408,0,top
R9,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,100.838,-90.713,270,top
R10,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,102.997,-80.264,180,top
R11,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,128.27,-118.618,0,top
R12,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,125.73,-91.059,0,top
R13,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,125.73,-95.187,0,top
R14,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,96.9645,-103.95,0,top
R15,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,97.0915,-112.712,180,top
SW1,SW_Push,Tactile Switch 3x4x2mm,135.89,-118.491,0,top
U1,MCP73831,SOT-23-5_HandSoldering,102.997,-85.09,180,top
U2,MCP1700-3302E_SOT23,SOT-23,136.144,-79.883,180,top
U3,CH304E,MSOP-10_3x3mm_P0.5mm,120.65,-100.584,270,top
